"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"10","1013.1","1014.9","2024/04/10 10:26:00","1011.8","2024/04/10 18:21:00","22.8","24.4","2024/04/10 22:31:00","19.8","2024/04/10 00:01:00","77","69","2024/04/10 21:54:00","2.1","80","8.2","113","2024/04/10 00:18:00","2.5"
"11","1011.6","1013.4","2024/04/11 09:22:00","1009.6","2024/04/11 17:21:00","25.3","29.3","2024/04/11 12:33:00","22.0","2024/04/11 05:42:00","77","65","2024/04/11 11:21:00","0.6","155","4.9","301","2024/04/11 13:41:00","0.0"
"12","1009.1","1010.6","2024/04/12 01:33:00","1007.1","2024/04/12 16:02:00","25.9","29.3","2024/04/12 14:41:00","23.2","2024/04/12 01:21:00","80","69","2024/04/12 10:34:00","0.4","19","6.0","299","2024/04/12 11:21:00","0.0"
"13","1008.4","1010.0","2024/04/13 09:31:00","1006.8","2024/04/13 14:21:00","27.1","30.2","2024/04/13 11:32:00","24.8","2024/04/13 06:01:00","77","64","2024/04/13 11:35:00","1.1","97","8.2","128","2024/04/13 12:53:00","0.0"
"14","1008.1","1010.0","2024/04/14 08:24:00","1006.4","2024/04/14 15:43:00","27.1","29.2","2024/04/14 13:11:00","24.9","2024/04/14 05:28:00","80","70","2024/04/14 09:31:00","0.9","305","7.1","285","2024/04/14 14:14:00","0.0"
"15","1008.6","1010.2","2024/04/15 21:03:00","1006.8","2024/04/15 03:21:00","28.0","32.4","2024/04/15 13:01:00","25.9","2024/04/15 05:12:00","78","52","2024/04/15 13:01:00","1.0","11","6.6","260","2024/04/15 09:00:00","0.0"
"16","1007.9","1009.5","2024/04/16 00:01:00","1006.1","2024/04/16 13:33:00","27.4","31.0","2024/04/16 11:54:00","25.7","2024/04/16 23:52:00","81","67","2024/04/16 12:10:00","0.9","123","7.7","313","2024/04/16 16:06:00","0.0"
"17","1005.6","1007.7","2024/04/17 06:23:00","1002.5","2024/04/17 15:51:00","27.8","30.2","2024/04/17 10:52:00","25.0","2024/04/17 05:25:00","72","57","2024/04/17 20:21:00","1.6","28","9.9","309","2024/04/17 14:56:00","0.0"
"18","1006.3","1008.8","2024/04/18 19:41:00","1003.1","2024/04/18 05:01:00","24.4","28.2","2024/04/18 00:26:00","22.2","2024/04/18 08:33:00","78","66","2024/04/18 00:26:00","1.6","84","9.9","98","2024/04/18 18:34:00","72.0"
"19","1006.0","1008.0","2024/04/19 08:25:00","1003.9","2024/04/19 14:45:00","26.9","30.2","2024/04/19 13:51:00","23.0","2024/04/19 00:02:00","70","54","2024/04/19 14:43:00","1.2","96","7.7","73","2024/04/19 12:05:00","0.5"
"20","1005.0","1006.9","2024/04/20 20:54:00","1003.0","2024/04/20 16:41:00","27.5","31.6","2024/04/20 11:53:00","24.2","2024/04/20 05:47:00","74","51","2024/04/20 11:14:00","1.0","269","8.8","237","2024/04/20 14:41:00","2.0"
"21","1006.3","1008.2","2024/04/21 21:22:00","1004.0","2024/04/21 04:06:00","27.7","30.8","2024/04/21 13:51:00","24.9","2024/04/21 05:59:00","76","57","2024/04/21 11:11:00","1.2","316","6.6","316","2024/04/21 15:08:00","0.0"
"22","1005.7","1007.4","2024/04/22 11:33:00","1004.0","2024/04/22 17:13:00","27.3","29.9","2024/04/22 10:30:00","26.0","2024/04/22 21:34:00","81","66","2024/04/22 10:32:00","0.7","25","4.9","290","2024/04/22 13:27:00","0.5"
"23","1004.8","1006.8","2024/04/23 23:11:00","1002.4","2024/04/23 15:01:00","27.0","30.3","2024/04/23 14:12:00","24.0","2024/04/23 05:16:00","81","53","2024/04/23 15:27:00","0.9","115","11.0","301","2024/04/23 17:47:00","5.0"
"24","1007.3","1008.9","2024/04/24 11:14:00","1004.2","2024/04/24 03:22:00","21.5","25.8","2024/04/24 00:31:00","19.3","2024/04/24 18:24:00","88","79","2024/04/24 15:41:00","2.7","105","12.6","101","2024/04/24 13:52:00","38.5"
"25","1005.4","1007.7","2024/04/25 00:01:00","1003.5","2024/04/25 23:41:00","24.6","28.3","2024/04/25 13:04:00","21.6","2024/04/25 07:11:00","84","69","2024/04/25 13:04:00","0.8","2","6.0","105","2024/04/25 00:04:00","6.0"
"26","1002.8","1004.5","2024/04/26 12:32:00","999.5","2024/04/26 15:53:00","25.1","28.3","2024/04/26 09:51:00","23.2","2024/04/26 04:52:00","86","69","2024/04/26 09:51:00","0.8","171","5.5","113","2024/04/26 19:51:00","17.0"
"27","1004.9","1008.0","2024/04/27 22:11:00","1002.5","2024/04/27 02:31:00","26.3","29.6","2024/04/27 15:01:00","23.8","2024/04/27 03:29:00","81","70","2024/04/27 15:04:00","0.6","1","6.0","40","2024/04/27 14:16:00","0.0"
"28","1005.6","1009.4","2024/04/28 10:59:00","1002.4","2024/04/28 15:11:00","27.6","33.6","2024/04/28 16:21:00","24.8","2024/04/28 11:13:00","72","37","2024/04/28 16:02:00","1.1","4","11.0","241","2024/04/28 10:33:00","0.5"
"29","1004.6","1006.9","2024/04/29 07:45:00","1002.2","2024/04/29 15:05:00","29.3","34.5","2024/04/29 12:31:00","24.8","2024/04/29 03:32:00","65","45","2024/04/29 12:39:00","1.5","72","11.5","255","2024/04/29 14:07:00","0.0"
"30","1002.5","1005.5","2024/04/30 20:54:00","1000.0","2024/04/30 14:23:00","28.1","32.6","2024/04/30 11:07:00","23.5","2024/04/30 16:48:00","71","53","2024/04/30 20:03:00","1.6","32","17.1","268","2024/04/30 15:26:00","3.5"
